"","price","retail_price","units_sold","uses_ad_boosts","rating","rating_count","rating_five_count","rating_four_count","rating_three_count","rating_two_count","rating_one_count","badges_count","badge_local_product","badge_product_quality","badge_fast_shipping","tags","product_color","product_variation_inventory","shipping_is_express","countries_shipped_to","inventory_total","merchant_rating","product_variation_size_id","origin_country"
"16",11,81,1000,0,3.92,426,204,94,62,21,45,0,0,0,0,"Summer,Plus Size,Shirt,Sleeve,cute,Long Sleeve,flare,Tops,topsamptshirt,Women's Fashion,Clothes for women,cuteshirt,Fashion,long sleeve t shirt,solidcolorshirt,Summer Fashion,loose t-shirt,T Shirts","black",50,0,41,50,4.06632640105635,"S","CN"
"20",7,7,1000,0,3.67,214,87,36,49,17,25,0,0,0,0,"blouse,Summer,Vest,Plus Size,Tank,zippers,Tops,Slim Fit,tank top,Women's Fashion,V-neck,topsampblouse,sleeveless,women top,slim,Casual","red",7,0,41,50,4.06236080178174,"S","CN"
"23",11,26,1000,0,3.38,72,27,11,11,8,15,0,0,0,0,"Women Vest,Vest,Fashion,buttontop,camisole,Summer,Spaghetti Strap,tank top,Women's Fashion,Plus Size,Design,V-neck,sleeveless,sexy,Spaghetti,summer tops,Cotton,Tank,Tops,Casual,Cotton Vest,Women,sleevelesstshirt,Casual Tops,Holiday,Beach,button","army green",2,0,51,50,4.23184233835252,"S","CN"
"25",5.71,5,1000,0,3.75,678,290,145,104,61,78,0,0,0,0,"Summer,Vest,Fashion,Tank,Shirt,backless top,summer shirt,topsamptshirt,tank top,Ladies,Sleeveless Shirt,backless,V-neck,solid color,sexy,summervest,Tops,Women Fashion,Ladies Fashion","black",19,0,43,50,4.00669222029391,"2XS","CN"
"26",9,32,1000,0,4.15,567,323,116,58,28,42,0,0,0,0,"Summer,Vest,Fashion,Tank,Slim T-shirt,camouflage,Tops,camouflagevest,tank top,Cool T-Shirts,Women's Fashion,sleeveless tops,Women,Casual T-Shirt,Casual Tops,Military,Casual,sleeveless,t","army green",50,0,41,50,4.11005854177754,"M","CN"
"27",9,9,1000,0,4.03,216,105,48,39,12,12,0,0,0,0,"Summer,midsleevebeachblouse,summerswimsuit,womensummerswimwear,crochet,Cover,womenbeachblouse,Swimsuit,Bikini,beachblouse,Swimwear,bikinibeachcoverup,Women,women fashion dress,women bathing suit,budsilkblouse,Suits,Women's Fashion,Lace","no color",5,0,60,50,4.22940902745463,"M","US"
"29",1.74,2,100,1,4.25,12,7,3,1,0,1,0,0,0,0,"pink,Vest,Fashion,Lace,Summer,outweartop,slim,tank top,Women's Fashion,sleeveless tops,summerwomentop,Women,Deep V-Neck,Tank,Necks,Women Fashion,lace top,Tops,lace vest,black,blackwhitepink,scallopedtrimtop,sleeveless,white","pink",50,0,41,50,3.83151394861616,"XS","CN"
"30",5.65,6,1000,0,4.06,301,156,70,34,18,23,0,0,0,0,"Summer,strapless,Plus Size,tunic,tunic top,Tops,Shorts,slim fit shirt,Women's Fashion,Fashion,topsamptee,women tank top,solid color,sleeveless,Pullovers,Casual,Cotton","white",50,0,54,50,4.06027864657378,"2XL","CN"
"31",14,76,100,0,4.06,31,17,4,6,3,1,0,0,0,0,"Summer,Plus Size,Love,plus size dress,Dress,short sleeves,Women's Fashion,Party Dress,Graffiti,uniquedres,Clothing,Bodycon Dress,casual dress,Shorts,Sleeve,summer dress,Cotton Dress,Women Clothing,print dress,Print,party,Short Sleeved,Women,Fashion","no color",50,0,36,50,3.96826880024918,"S","CN"
"32",5.65,6,1000,1,4.37,217,137,42,24,9,5,1,0,1,0,"tank top women,Vest,Beading,Cotton Shirt,camisole,Women Vest,Sweets,Tops,Spaghetti Strap,Women's Fashion,Spaghetti,Cami,Summer,Bandages,Tank,Women,Cool Tees,Shirt","black",10,0,38,50,4.0659053906372,"2XS","CN"
"33",8,7,1000,0,3.81,443,215,76,65,29,58,0,0,0,0,"Summer,camisole,chiffon,Dress,slim,beach dress,Ladies,Women's Fashion,backless,printed,Floral,Robes,Beach,Casual,Women","khaki",4,0,46,50,3.87080924855491,"S","CN"
"36",11,10,1000,0,4.16,274,162,47,34,10,21,1,0,1,0,"blouse,Summer,Plus Size,Floral print,ruffled,Sleeve,Tops,sexyblouse,short sleeves,Floral,Women's Fashion,Shorts,Print,sexy,Fashion","white",50,0,31,50,4.00014341029686,"S","CN"
"37",8,17,100,1,2.75,8,2,0,3,0,3,0,0,0,0,"butterflyprint,Vest,Plus Size,Necks,Tops,Spaghetti Strap,tank top,Casual,Round neck,Fashion,sleeveless tops,Casual Tops,summervest,womens vest","blue",50,0,40,50,4.02536420666514,"S","CN"
"39",5.8,8,100,1,3.83,6,3,1,1,0,1,0,0,0,0,"Summer,Fashion,Shirt,Necks,Loose,Round neck,Womens T Shirts,T Shirts,Print,sleeveless,Sweatshirts,Cotton,graphicprint","army green",1,0,43,50,3.92085299563945,"XS","CN"
"40",13,13,1000,0,4.16,138,82,27,10,7,12,1,0,1,0,"Summer,Plus Size,Lace,Mini,Dress,slim,camouflage,Mini dress,Pocket,high waist,Women's Fashion,Fashion,Lace Up,t,print dress,Print,sleeveless,bodycon,Casual,Women Fashion,Waist","pink",50,0,41,50,3.9813366374971,"S","CN"
"42",7,68,10,0,1.5,2,0,0,0,1,1,0,0,0,0,"Mini,spaghettistrapdresse,Floral print,Summer,womensfahsion,Spaghetti,Dress,summer dress,Print,minidressforwomen,Mini dress,spaghettishoulderstrapdre,Women's Fashion,floralprinteddre,Sexy Dress,Floral,sexy,Fashion","white",50,0,43,50,3.85894206549118,"S","CN"
"43",12,14,100,1,3.79,24,11,6,2,1,4,0,0,0,0,"Summer,Shorts,pants,Fitness,Short pants,runningpant,Men's Fashion,Casual,Red,Cotton","black",50,0,22,50,4.02040816326531,"S","CN"
"44",3.69,40,100,0,3.53,59,22,11,12,4,10,0,0,0,0,"Summer,Shorts,Cotton,Cotton T Shirt,letter print,cute,teeshirthomme,short sleeves,Casual,Round neck,Women's Fashion,Fashion,printed,beetshirt,Women,Sleeve,T Shirts,Necks","grey",2,0,24,50,4.3648438215627,"XS","CN"
"46",5.84,56,100,0,3.28,36,11,4,11,4,6,0,0,0,0,"Summer,off shoulder top,Fashion,crop top,Spring,Vest,yoga top,Women's Fashion,tank top,sexy,Sport,summer tops,Women,fashion women,Fashion tank top,Tank,summer tank top,Tops,sexy tank top,Casual,Ladies,sleeveless,women top","army green",50,0,43,50,4.01748772683975,"S","CN"
"47",16,14,10,0,3,3,0,2,0,0,1,0,0,0,0,"Summer,Shorts,women's jogging suits,Sleeve,shortsleeveset,Short pants,summersuitset,short sleeves,Sport,summerpant,mensjoggingsuit,Suits,Sport Suits,short sleeve shirt,Outfits,men's suits,Casual","green",2,0,34,50,3.54838709677419,"S","CN"
"48",13,50,1000,0,4.03,855,451,165,120,51,68,0,0,0,0,"bohemia,sleeveless,printeddre,Rose,long dress,Vintage,Dress,Women's Fashion,Beach,boho,Shorts,midcalfdre,vestido,jumpsuit,maxi dress,printed,Vintage dress,Fashion,Women","red & blue",50,0,32,50,4.08570490367776,"S","CN"
"50",7,6,100,0,3.8,61,28,11,12,2,8,0,0,0,0,"Summer,Plus Size,Love,Graphic T-Shirt,Funny,summer t-shirts,short sleeves,T Shirts,Funny T Shirt,Women's Fashion,Fashion,Women","black",50,0,45,50,4.21638599783678,"S","CN"
"51",11,20,100,0,3.43,14,5,3,2,1,3,0,0,0,0,"Summer,Vest,Plus Size,Tank,Necks,Tops,Loose,Women's Fashion,tank top,T Shirts,Fashion,V-neck,solid color,sleeveless,women top,Casual,Women","white",50,0,34,50,4.17467948717949,"S","CN"
"52",5.84,11,1000,0,4.19,307,171,71,35,12,18,0,0,0,0,"Summer,sexy bathing suit,Bikinis Set,splitbikiniset,Swimwear,Swimsuit,Bikini,Fashion,Two Pieces,printed,Women's Fashion,Women,Beach,splits","blue",1,0,40,50,4.17278596896984,"2XS","CN"
"53",1,11,1000,1,3.8,5,3,0,1,0,1,0,0,0,0,"Summer,Vest,Fashion,slim,gothicshirt,tank top,punkshirt,T Shirts,Plus Size,gothic,skullshirt,Goth,summer tops,Cotton,Tank,Shirt,skull,graphic tee,Tops,Slim Fit,Women's Fashion,Tops & T-Shirts,Print,sleeveless","blue",37,0,41,50,3.85811882395999,"2XS","CN"
"54",11,60,1000,1,3.38,37,15,3,9,1,9,0,0,0,0,"Summer,Plus Size,Necks,long dress,Dress,summer dress,V-neck,Women's Fashion,printed,wavepoint,Women,Loose,Casual,casual dress","white",49,0,25,50,3.9601706970128,"S","CN"
"56",6,56,1000,1,3.5,938,349,171,173,88,157,0,0,0,0,"Mini,Summer,pleated dress,Lace,women dresses,Dress,V-neck,Mini dress,backless,Sexy Dress,sexy lace,sleeveless,sexy,Beach,Women","red",1,0,28,50,3.87669997745886,"No size","CN"
"57",1,10,100,0,3.56,52,22,8,9,3,10,0,0,0,0,"Summer,Fashion,Necks,Beach,Dress,Loose,beach dress,Round neck,Women's Fashion,sleeveless,Skirts,Casual,Women","white",2,0,40,50,3.83793694273772,"2XS","CN"
"59",6,6,100,0,4,8,5,0,1,2,0,0,0,0,0,"Summer,Sling,Dresses,Dress,V-neck,Casual,Pocket,Women's Fashion,Sleeveless dress,women dress,Floral,sleeveless,Women,loose dress,Pleated,casual dress","white & green",5,0,23,50,3.8740157480315,"XS","CN"
"60",11,68,1000,0,4.13,211,120,37,31,8,15,0,0,0,0,"Summer,Plus Size,women39sfashion,Necks,Tunic dress,summer dress,Women's Fashion,Floral print,Casual,Crewneck,dressesforwomen,Graffiti,printeddre,sleeveless,Robes,Women,Dress,printed","red",50,0,40,50,4.21522807622661,"M","CN"
"61",7,6,50,0,4,4,3,0,0,0,1,0,0,0,0,"Summer,Fashion,Elastic,pants,slim,Short pants,Women's Fashion,Running,Shorts,Sport,Casual,Slim Fit","blue",50,0,139,50,4.35294117647059,"XS","CN"
"62",5,38,50,1,5,2,2,0,0,0,0,0,0,0,0,"Summer,Fashion,pants,widelegpant,Women's Fashion,trousers,solid color,Wool,Casual,Women","khaki",17,0,33,50,3.66666666666667,"XS","CN"
"63",2.72,3,100,1,3.1,20,6,4,2,2,6,0,0,0,0,"Summer,Plus Size,Lace,Casual pants,Bottom,pants,Loose,Women's Fashion,Shorts,Lace Up,Elastic,Casual,Women","yellow",1,0,35,50,4.00158817842839,"S","CN"
"64",5.87,11,1000,1,3.91,209,100,41,34,17,17,0,0,0,0,"Summer,Fashion,night dress,Dress,Classics,short sleeves,Cotton Dress,Women's Fashion,european,Ladies,American,Large Size,Clothing,Pajamas,Cotton","white",6,0,29,50,4.39130434782609,"S","CN"
"66",8,10,100,0,2.71,7,1,1,2,1,2,0,0,0,0,"Summer,V Collar,Plus Size,Stitching,Sleeve,Dresses,Dress,summer dress,long dress,short sleeves,Casual,ladies dress,Women's Fashion,Shorts,Women,Ladies,women dress,Short Sleeved,Cotton,Collar,casual dress","red",4,0,20,50,3.89285714285714,"XS","CN"
"67",14,67,1000,0,3.81,187,84,40,28,14,21,0,0,0,0,"Summer,Plus Size,Cotton,summershirtsformen,Chinese,loose shirt,cottonlinenshirt,Tops,buttonup,short sleeves,men shirt,Men's Fashion,Fashion,Men,solid color,Shirt,camisamen,Clothing,basictshirt,beachshirt","blue",50,0,40,50,4.15075630252101,"M","CN"
"68",2,9,100,0,3.47,32,11,6,5,7,3,0,0,0,0,"Summer,Fashion,Necks,Skirts,Dress,Loose,Women's Fashion,Round neck,beach dress,sleeveless,Beach,Casual,Women","white",1,0,40,50,4.16762767710049,"2XS","CN"
"70",5.79,30,1000,1,3.41,212,73,49,23,25,42,0,0,0,0,"blouse,Plus Size,Summer,Dress,short sleeves,V-neck,beach dress,Fashion,Casual,Deep V-Neck,Shorts,Tops & Blouses,Sleeve,summer dress,Women's Fashion,Swimsuit,Party Dress,Ladies,party,linen dress,Beach,loose dress,Swimming","white",50,0,118,50,4.18984389872454,"XS","CN"
"71",8,22,100,1,3.74,47,24,5,6,6,6,0,0,0,0,"Deep V-Neck,Summer,Plus Size,Tank,Shirt,rodeotank,Tops,Sleeveless Shirt,tank top,Women's Fashion,women shirt,V-neck,sleeveless,Design,T Shirts,Women,countrymusicshirt,Casual,countrythunder,printed","winered",50,0,41,50,3.87676160733698,"S","CN"
"74",11,10,100,1,3.46,50,20,7,8,6,9,0,0,0,0,"Summer,trousers,Casual pants,pants,Bottom,fashion pants,chiffonpant,Long pants,widelegpant,harem pants,summerpant,Plus Size,printed,Women's Fashion,Casual,Women","black",50,0,41,50,4.30112048545498,"S","CN"
"75",8,33,10,0,5,0,0,0,0,0,0,0,0,0,0,"Vest,Fashion,Lace,V-neck,Women's Fashion,lacebra,sexy,silk,Casual,Women,Tank,Necks,casualsuspendertop,lace top,Tops,lace vest,slingtop,black,sleeveless","black",50,0,25,50,4.16978609625668,"S","CN"
"76",9,33,50,1,4.5,4,2,2,0,0,0,0,0,0,0,"blouse,Summer,Plus Size,Shirt,Heart,womens shirt,print shirt,Tops,short sleeves,Round neck,Funny,Women's Fashion,cute,Women,Casual,Necks","white",50,0,41,50,4.12028105275694,"S","CN"
"77",7,6,100,0,4.26,53,30,14,5,1,3,0,0,0,0,"Summer,Shorts,Women,shortromper,Spaghetti,onepiece,Spaghetti Strap,One-Piece Suits,shortjumpsuit,Women's Fashion,Fashion,Casual,summerjumpsuit,sleeveless,Rompers,women Jumpsuit,playsuit,jumpsuit","army green",50,0,31,50,3.83795620437956,"S","CN"
"79",8,92,100,0,3.56,16,6,5,0,2,3,0,0,0,0,"Summer,Plus Size,letter print,print shirt,summer t-shirts,short sleeves,Women's Fashion,Fashion,slimtop,slim,Women Fashion,Necks,rainbow,Shorts,Cotton Shirt,Shirt,Sleeve,graphic tee,Tops,Slim Fit,Round neck,women shirt,Tops & T-Shirts,Print,Cotton","yellow",50,0,55,50,3.96806105144149,"S","CN"
"81",8,7,1000,0,3.42,373,144,57,60,35,77,0,0,0,0,"Summer,Plus Size,Mini,Dress,Mini dress,Women's Fashion,Fashion,slingdres,sleeveless,women dress,Striped,Women,Casual,Cotton","pink",50,0,63,50,3.96520423600605,"S","CN"
"82",5.77,5,100,1,4,4,1,2,1,0,0,0,0,0,0,"blouse,Summer,Vest,Plus Size,Tank,Lace,Women Skirts,Shirt,Dress,Plus size top,Tops,lace blouse,Women's Fashion,Fashion,sleeveless,blousesampshirt,sexy,Women,Casual,Cotton","army green",45,0,31,50,3.91574032903513,"S","CN"
"84",6,20,100,0,3.08,13,4,2,2,1,4,0,0,0,0,"strappydre,Mini,summer dress,short dress,Summer,Shorts,Dress,Slim Fit,V-neck,Mini dress,Women's Fashion,Sleeveless dress,strappy,Plus Size,Sexy Dress,solid color,sexy,Fashion,sleeveless,Women","red",50,0,43,50,3.93119596541787,"S","CN"
"87",12,11,1000,0,3.81,341,163,63,48,21,46,0,0,0,0,"Deep V-Neck,Summer,slingdresse,Plus Size,Floral,Necks,women dresses,Dresses,vestdresse,floralprinted,Women's Fashion,printed,Dress,summer dresses,tunicdresse,Casual,Women","black & green",50,0,13,50,4.15035587188612,"S","CN"
"91",8,51,100,0,4.29,31,19,5,5,1,1,1,0,1,0,"Summer,Plus Size,Dress,slim,short dress,Mini dress,Women's Fashion,Fashion,sleeveless,Party Dresses,Bodycon Dress,Women Fashion,casual dress,Shorts,Waist,Slim Fit,camouflage,Sleeveless dress,t,women dress,Women","pink",50,0,43,50,3.83253506671228,"S","CN"
"92",11,10,100,1,3.46,50,20,7,8,6,9,0,0,0,0,"Summer,trousers,Casual pants,pants,Bottom,fashion pants,chiffonpant,Long pants,widelegpant,harem pants,summerpant,Plus Size,printed,Women's Fashion,Casual,Women","black",50,0,41,50,4.30112048545498,"S","CN"
"95",1.72,2,100,1,3.77,30,15,3,5,4,3,0,0,0,0,"blouse,Summer,Plus Size,Shirt,Sleeve,Tops,Loose,short sleeves,V-neck,T Shirts,Shorts,Fashion,Ladies,Women's Fashion,Casual,Women","fluorescentgreen",10,0,48,50,3.88454364585924,"XS","CN"
"96",1.86,9,100,1,3.57,42,17,9,4,5,7,0,0,0,0,"Summer,Fashion,pants,widelegpant,Women's Fashion,trousers,solid color,Wool,Casual,Women","pink",2,0,40,50,3.94301876379691,"XS","CN"
"97",14,92,100,1,4.54,13,10,2,0,0,1,0,0,0,0,"Summer,Two-Piece Suits,women crop top,pants,Tops,track suit,Outfits,Women's Fashion,Shorts,Clothes,Suits,Print,Women,short sleeve shirt,Sport,Fashion,Striped,Sports Wear,sexy Women's Fashion","black",50,0,36,50,4.18518518518519,"XS","CN"
"98",3.69,4,1000,0,3.64,212,95,33,32,16,36,0,0,0,0,"Summer,Vest,Plus Size,Floral print,splice,Loose,V-neck,Floral,Women's Fashion,Fashion,wavepoint,Print,Casual,Necks","red",5,0,24,50,4.03912764592688,"XS","CN"
"99",5.79,42,1000,0,3.32,121,36,24,23,19,19,0,0,0,0,"Summer,Vest,summer t-shirts,looseblouse,Cross,tank top,Spaghetti Strap,Sleeveless Shirt,Plus Size,topandblouse,deepneck,Spaghetti,Casual,Women Fashion,Women,blouse,Tank,Necks,Beach,Tops,beachvest,Women's Fashion,T Shirts,Fashion,sleeveless","red",50,0,43,50,3.94747196537478,"S","CN"
"100",11,30,100,1,4.11,28,17,4,3,1,3,2,1,0,1,"Shorts,Waist,Casual pants,pants,summer shorts,Men,5pointspant,camouflage,Men's Fashion,Beach Shorts,t,Men Shorts,cargoshort,camouflageshort,Cotton","orange & camouflage",2,0,45,50,4.21046011948433,"L","CN"
"101",9,8,100,1,3.18,72,17,19,12,8,16,0,0,0,0,"Summer,trousers,Tank,pants,Spring,Overalls,Women's Fashion,Fashion,black,Ladies,sleeveless,Wool,women Jumpsuit,Casual,jumpsuit","red",10,0,26,50,3.72916666666667,"S","CN"
"103",20,17,100,1,2.8,15,2,3,5,0,5,0,0,0,0,"Mens T Shirt,Fashion,Men's Fashion,Sleeve,Summer,Athletics,tshirtshort,Men,summer shorts,short sleeves,Casual,Cool T-Shirts,sportsshort,Shorts,fashionbrandsuit,3D T-shirt,fashion brand,men's shorts,menssummersuit,T Shirts","green",50,0,36,50,3.29850746268657,"S","CN"
"105",8,65,100,0,3.97,29,18,1,5,1,4,0,0,0,0,"runningshort,Beach Shorts,beachpant,Bottom,sailboatshort,Shorts,Sport,beach swimwear,Men's Fashion,Puma,Summer,Men Shorts,men's shorts,surfshort,Beach,Men","white",1,0,33,50,3.88284518828452,"S","CN"
"106",8,7,1000,1,3.61,668,254,155,102,61,96,0,0,0,0,"Summer,womens dresses,Dress,Spaghetti Strap,Floral dress,kleider,beach dress,Party Dress,party,Floral,summer dresses,Spaghetti,Casual,casual dress,tunic,saty,Women's Fashion,Floral print,Print,sleeveless,sexy,Women,Beach","lightyellow",10,0,39,50,4.09855721883002,"2XS","CN"
"107",6,6,1000,1,3.82,134,62,26,23,6,17,0,0,0,0,"Fashion,fit,pants,Brand,slim,Short pants,jogging,Shorts,printed,Men,Sport,Casual,trousers,Slim Fit","grey",1,0,35,50,3.84477611940299,"S","CN"
"109",7,6,1000,1,4.2,107,66,13,18,3,7,0,0,0,0,"Summer,Plus Size,Dress,Spaghetti Strap,Ladies,Women's Fashion,Fashion,Floral,knee,Spaghetti,Casual,Floral print,summer dress,women's dress,Print,sleeveless","white",3,0,26,50,3.94331983805668,"XS","CN"
"111",5.81,30,100,0,2.61,18,3,2,5,1,7,0,0,0,0,"Summer,Shorts,Slim Fit,slim,twopiecesoutfit,V-neck,Women's Fashion,Fashion,tank top,Women,sexy,Sport,Casual,Women Fashion,Cotton","green",3,0,41,50,3.8947606995807,"XS","CN"
"113",5,51,10,0,5,0,0,0,0,0,0,0,0,0,0,"Summer,Shorts,Shirt,Sleeve,sportsset,short sleeves,Two piece set,lipprint,Ladies,women shorts,Fashion,lip,women t shirt,Round neck,Casual,Print,tracksuitsforwomen,runningset,Necks","black",1,0,36,50,3.98983050847458,"XS","CN"
"114",5,5,100,1,4.3,10,6,2,1,1,0,0,0,0,0,"Summer,Fashion,Stitching,Lace,Denim,jeansforwomen,Women's Fashion,Shorts,Denim Shorts,sexy,Jeans,Women","coolblack",3,0,22,50,4.16797851652931,"2XS","CN"
"115",11,10,1000,0,4.12,249,143,48,24,12,22,0,0,0,0,"blouse,Summer,Womens Blouse,long sleeve blouse,Shirt,Sleeve,Women Blouse,Plus Size,Blouses & Shirts,casual shirt,Casual,Tops,Women's Fashion,blouse women,Casual T-Shirt,Tops & Blouses,Printed T Shirts,Fashion,long sleeve shirt,Women","multicolor",50,0,21,50,3.85193013683391,"S","CN"
"116",12,67,10,0,3.67,3,2,0,0,0,1,0,0,0,0,"Summer,Shorts,women beachwear,women crop top,Tops,short sleeves,T Shirts,Fashion,Sport,Women,Suits,womencausaltshirt,Yoga,Women's Fashion,Casual,Sports Wear,Cotton","pink",20,0,32,50,4.00840336134454,"XS","CN"
"117",5.68,5,10,0,4.5,2,1,1,0,0,0,0,0,0,0,"Summer,fashion women,Fashion,headdress,women hats,漁師の帽子,Outdoor,Bucket Hats,daisy,sun hat,Hats,fishermanshat,Electric","purple",50,0,109,50,4.5125,"S","CN"
"118",11,10,100,1,4,12,7,1,2,1,1,0,0,0,0,"mensboardshort,Summer,Beach Shorts,pants,Shorts,Slim Fit,Swimsuit,quickdry,Men's Fashion,bodybuildingshort,mensswimtrunk,Swimming,Swim Shorts,Beach,Men","black",50,0,32,50,4.01465201465201,"S","VE"
"120",7,43,100,0,3.71,21,10,5,0,2,4,0,0,0,0,"blouse,printtank,Vest,Fashion,Tank,camisole,Summer,Tops,tank top,Women's Fashion,sleeveless tops,V-neck,sleeveless,printed,Casual,Cotton","purple",9,0,40,50,3.87816699713593,"S","CN"
"121",12,85,50,1,4.75,4,3,1,0,0,0,0,0,0,0,"runningshort,Fashion,Sleeve,beachsuit,Athletics,sweat suit,Men,short sleeves,jogging suit,Men's Fashion,Shorts,Summer,T Shirts,Tops & T-Shirts,men's shorts,men's suits,Casual,Sports Wear,jumpsuit","green",18,0,35,50,4.17543859649123,"S","CN"
"122",7,6,100,0,5,2,2,0,0,0,0,0,0,0,0,"Summer,Vest,Plus Size,Tank,Tops,V-neck,Fashion,tank top,knot,solid color,sleeveless,Casual,Women Fashion,Cotton","black",50,0,41,50,3.97073070184479,"S","CN"
"123",7,33,50,0,3,2,0,1,0,1,0,0,0,0,0,"butterfly,Mini,Vest,Fashion,Tank,Necks,Summer,womemstop,Tops,tank top,Round neck,#top #crop,tankvest,sleeveless,Casual","blue",50,0,41,50,4.00154626913012,"S","CN"
"124",11,59,1000,0,4.11,135,75,24,19,10,7,0,0,0,0,"Summer,Plus Size,letter print,Dress,short sleeves,bodycon,Women's Fashion,Fashion,Sexy Dress,t-shirt dress,Skirts,mini dresses,Shirt,Shorts,Jewelry,skewshoulder,Dresses,Casual,print dress,Sleeve,Print,Women,silver","yellow",50,0,41,50,4.05718540580789,"M","CN"
"125",12,43,100,0,3.59,27,7,9,7,1,3,0,0,0,0,"Women Pants,capripant,elastic waist,Waist,Elastic,pants,Summer,Fitness,jogging,harem pants,Women's Fashion,trousers,34pant,Sport,Fashion,Casual","lightpink",50,0,42,50,3.94840902069818,"M","CN"
"127",2.72,9,1,0,5,0,0,0,0,0,0,0,0,0,0,"Summer,Plus Size,Shirt,long dress,Dress,Women's Fashion,V-neck,Maxi Dresses,beach dress,Party Dress,Stripes,Sleeveless dress,summer dresses,women dress,Beach,Casual,sleeveless","orange",1,0,33,50,3.5978835978836,"XS","CN"
"129",9,56,100,1,4.03,30,17,6,2,1,4,0,0,0,0,"Summer,Two-Piece Suits,Fashion,Sleeve,Spring,Tops,short sleeves,sport suit women,Shorts,Sport Suits,suits for women,jogging suits for women,women sport suit,tiktoktshirt,womens shorts suit","pink & black",3,0,19,50,3.71428571428571,"2XS","US"
"130",5,5,50,0,5,1,1,0,0,0,0,0,0,0,0,"Summer,Plus Size,Tie Dye,tiedyeprint,Dyes,Dress,summer dress,short sleeves,Ladies,Women's Fashion,Shorts,off shoulder dress,Sleeve,Print,women dress,Casual,casual dress","yellow",5,0,47,50,3.75,"XS","CN"
